需	xu1	330072.1713	14524444		132522					
领	ling3	329816.4018	34454		132534		人		页	
乐	le4	329569.0557	35234							
破	po4	328104.124	13251		532	54				又
玉	yu4	327915.7428	1121		4		王			
产	chan3	327790.9211	414313							
阳	yang2	325557.9149	52		2511				日	
级	ji2	325540.302	551		534		纟			
序	xu4	325396.3359	413		5452		广			
组	zu3	325248.5409	551		25111		纟			
急	ji2	324292.851	35	511	4544				心	
黄	huang2	320574.237	1221		25121	34				
技	ji4	319816.1176	121		12	54	手		十	又
院	yuan4	318959.2129	52		445	1135			宀	
脚	jiao3	318873.4459	3511		12154	52	月		土	
章	zhang1	318241.6797	414312511		12		立		十	
愿	yuan4	316363.9941	1332511	234	4544				心	
木	mu4	316290.4795	1234				木			
忽	hu1	316282.8217	3533		4544				心	
段	duan4	316128.1347	32111		3554				殳	
帮	bang1	315801.1478	1113	52	252					
号	hao4	315274.2931	251		15		口			
除	chu2	314389.8205	52		34	11234			人	禾
久	jiu3	313247.2809	354							
视	shi4	313231.9654	4524		25	35				儿
伤	shang1	312806.1933	32		31	53	亻			
念	nian4	312591.0099	34	45	4544		人		心	
细	xi4	312348.2585	551		25121		纟			
阿	a1	312214.2475	52		12	251				口
造	zao4	312128.4805	3121	251	454		丿	口	辶	
团	tuan2	312061.8579	251		123		囗			
冲	chong1	312022.0375	41		2512		冫			
值	zhi2	311383.3793	32		12	251111	亻		十	
具	ju4	306707.5438	251111		34					
节	jie2	305544.3283	122		52		草			
陈	chen2	304759.4067	52		15234					
跑	pao3	303701.8684	2512121		35	515	足			
乱	luan4	302683.3848	312	251	5		丿	口		
词	ci2	302629.0146	45		51	251	讠			口
简	jian3	301510.9799	314314		425	2511	竹			日
京	jing1	301429.8075	41		251	234			口	
势	shi4	301391.5187	121	354	53		手		力	
依	yi1	298963.2392	32		413534		亻		衣	
持	chi2	298643.9102	121		121	124	手		土	寸
展	zhan3	296994.4261	513		1221	534	尸			
科	ke1	296813.7027	31234		4412		禾			十
朋	peng2	296701.8992	3511		3511		月		月	
装	zhuang1	296492.8421	412	121	413534		丬	十	衣	
渐	jian4	295802.1111	441		1521	3312	水		车	
较	jiao4	294917.6384	1521		41	3434	车			
艺	yi4	294813.4927	122		5		草			
娘	niang2	293631.8985	531		4511534		女			
异	yi4	292729.0472	515		132					
另	ling4	292241.2472	251		53		口		力	
台	tai2	290624.6916	54		251				口	
品	pin3	290156.8017	251		251	251	口		口	口
规	gui1	288834.3045	1134		25	35				儿
兰	lan2	288257.6743	43		111					
读	du2	287768.3427	45		125	44134	讠		十	
市	shi4	286898.4198	41		252					
须	xu1	286442.0166	333		132534				页	
玩	wan2	285608.0853	1121		11	35	王			儿
克	ke4	285529.976	12251		35		十		儿	
屋	wu1	285414.3436	513		154	121	尸			土
观	guan1	284970.9586	54		25	35	又			儿
速	su4	284804.785	1251234		454				辶	
社	she4	284327.7058	4524		121				土	
差	cha4	284262.6148	431113		121				工	
哈	ha1	283994.5927	251		341	251	口		人	口
围	wei2	283990.7639	251		1152		囗			
画	hua4	283631.6144	1		25121	52				
穿	chuan1	283544.3158	445	34	1523		穴			
况	kuang4	283383.5026	41		251	35	冫		口	儿
倒	dao3	283009.8033	32		154121	22	亻			
